time,utterance
20230208-102508,who is the president of the united states
20230208-102514,pick up the bottle
20230208-102602,open your gripper
20230208-102631,go to the kitchen
20230208-111143,start learning
20230208-111240,can you take the orange juice to the bedroom for me please
20230208-111256,pick up the orange juice and take it to the bedroom
20230208-111404,pick up the bottle again please
20230208-111456,can you take the bottle to the bedroom for me
20230208-111623,hand me the bottle of orange juice please
20230208-111655,stop learning
20230208-111808,go to the kitchen
20230208-111915,open your gripper
20230208-112546,pick up the bottle
20230208-112637,go to the bedroom
20230208-112730,hand me the bottle
20230208-112754,go to the kitchen
